RT,IBD_1,IBD_2,IBD_3,IBD_4,IBD_5,IBD_6,IBD_7,IBD_8,IBD_9,IBD_10,IBD_11,IBD_12,IBD_13,IBD_14,IBD_15,IBD_16,IBD_17,IBD_18,IBD_19,IBD_20,IBD_21,IBD_22,IBD_23,IBD_24,IBD_25,IBD_26,IBD_27,IBD_28,IBD_29,IBD_30,IBD_31,IBD_32,IBD_33,IBD_34,IBD_35,IBD_36,IBD_37,IBD_38,IBD_39,IBD_40,IBD_41,IBD_42,IBD_43,IBD_44,IBD_45,IBS_1,IBS_2,IBS_3,IBS_4,IBS_5,IBS_6,IBS_7,IBS_8,IBS_9,IBS_10,IBS_11,IBS_12,IBS_13,IBS_14,IBS_15,IBS_16,IBS_17,IBS_18,IBS_19,IBS_20,IBS_21,IBS_22,IBS_23,IBS_24,Normal_1,Normal_2,Normal_3,Normal_4,Normal_5,Normal_6,Normal_7,Normal_8,Normal_9,Normal_10,Normal_11,Normal_12,Normal_13,Normal_14,Normal_15,Normal_16,Normal_17,Normal_18,Normal_19,Normal_20,Normal_21,Normal_22,Normal_23,Normal_24,Normal_25,Normal_26,Normal_27,Normal_28,Normal_29
0,4807252,4807597,4807760,4808233,4818215,4822371,4812881,4811000,4816276,4814687,4821854,4824636,4818085,4848747,4815442,5123887,4825736,4815270,4908638,4805925,4806848,4809391,4811822,4802767,4822468,4810522,4809610,4802722,4814600,4810338,4817882,4805205,4810666,5052145,4853010,4815470,4804788,4820622,4808976,4815612,4807756,4815341,4806224,4807248,4806645,4875542,4815714,4815682,4810667,4814412,4808258,4814548,4817395,4817368,4805961,4813444,4814350,4808002,5011214,4816857,5152894,4806471,4816133,4813250,4814200,4815166,4807534,5003177,4812258,4805602,4810522,4823782,4817395,4816626,4810384,4814808,4851872,4991976,4810740,4822595,4810292,4817346,4807731,4810893,4813282,4812737,4814518,4811420,4812401,4814540,4824001,4808092,4874938,4819672,4816678,4828661,4814552,4817282
0.5,4807252,4807597,4810344,4810974,4818215,4817416,4812881,4817582,4818978,4811758,4824571,4822172,4818085,4846204,4810304,5126430,4830852,4812224,4908638,4802966,4806848,4812516,4820662,4805534,4825664,4810522,4809610,4810872,4814600,4820634,4815336,4807810,4813324,5054335,4848803,4800000,4807177,4818051,4811964,4815612,4810338,4812274,4809328,4809662,4804432,4872974,4818323,4815682,4810667,4814412,4813749,4816965,4814918,4817368,4805961,4813444,4811488,4808002,5008712,4809646,5155179,4806471,4816138,4815894,4811368,4815166,4807534,5000760,4806136,4811192,4810522,4828514,4814918,4818994,4812972,4814808,4856542,4989572,4816094,4820094,4815422,4819816,4805158,4810893,4813282,4815278,4812103,4809140,4809926,4814540,4821346,4805398,4868772,4816872,4811132,4820876,4814552,4814408
1,4807252,4805068,4807760,4816444,4818215,4819896,4812881,4817582,4816276,4814687,4813679,4819722,4818085,4846204,4815442,5131522,4825736,4806120,4908638,4808891,4804568,4806266,4817722,4805534,4819272,4807894,4812007,4813589,4814600,4815486,4817882,4805210,4808002,5054335,4846698,4810318,4802394,4820616,4811956,4815612,4807756,4812274,4806216,4804834,4806645,4870401,4810486,4818286,4815992,4814412,4808258,4814545,4819872,4811592,4811915,4821480,4814350,4813324,5016213,4809646,5159746,4810778,4824169,4810606,4811368,4815166,4800000,5000760,4806136,4808397,4815761,4826148,4819868,4816626,4810384,4817267,4854207,4987164,4810740,4817590,4815422,4814876,4810304,4810893,4804434,4815274,4814518,4811420,4809926,4811640,4821346,4802699,4874938,4819672,4816678,4826070,4808741,4811534
1.5,4812077,4810122,4810344,4819173,4815622,4814936,4810310,4813196,4818978,4814687,4816402,4822181,4815510,4846204,4810304,5121338,4820608,4809172,4914789,4805932,4809128,4812508,4817722,4811056,4822468,4810522,4809610,4810878,4820418,4825768,4815336,4810410,4805338,5054335,4844590,4810304,4804788,4820622,4805988,4818203,4810338,4812282,4812432,4809657,4813276,4867828,4815714,4815682,4810672,4816805,4811006,4814548,4817395,4811592,4805961,4813444,4814350,4815982,5013711,4812051,5162028,4812930,4818817,4815894,4811368,4815166,4805026,4995930,4815312,4805596,4815761,4823782,4814918,4816626,4810378,4817267,4851872,4987164,4808058,4820094,4820542,4814876,4812873,4810893,4811071,4815278,4814518,4811420,4812401,4814540,4824001,4805398,4868772,4819672,4813905,4828661,4817454,4814408
2,4809666,4810126,4810344,4816444,4818215,4819896,4810306,4815389,4810862,4817616,4821854,4819726,4815510,4846204,4807731,5123887,4823172,4812224,4910689,4811850,4804564,4809391,4817722,4811056,4825664,4810516,4809610,4808161,4817506,4815486,4815336,4810410,4805338,5056522,4846698,4818039,4807177,4818051,4808976,4807816,4810338,4812274,4812432,4807248,4813276,4872969,4820926,4815682,4810667,4809616,4811006,4814548,4809954,4814480,4811922,4816121,4811488,4813324,5011214,4814456,5155179,4815079,4818817,4815894,4811368,4810120,4805026,4995930,4812258,4805602,4813144,4828514,4819872,4814258,4812972,4812344,4849534,4989572,4810740,4817590,4815422,4814876,4810304,4815240,4811071,4815274,4814518,4813700,4812401,4814540,4821346,4810786,4874938,4822472,4813905,4826070,4817454,4811534
2.5,4812077,4810126,4807760,4813709,4818215,4817416,4810310,4811000,4813569,4814687,4819131,4819726,4810350,4846204,4812873,5123887,4825730,4809172,4912740,4811842,4809128,4812508,4817722,4805534,4822468,4813144,4814404,4808161,4823324,4810338,4817882,4813005,4805333,5056522,4846698,4802583,4807177,4818051,4805988,4815612,4810338,4812274,4806224,4809662,4813276,4875542,4820932,4815682,4805342,4809616,4805503,4814548,4809954,4811585,4805968,4818803,4814350,4810666,5011214,4812051,5162028,4808626,4816138,4815894,4811368,4815166,4807534,5000764,4809197,4802801,4810522,4823782,4819868,4814253,4807790,4812344,4851872,4999180,4818765,4820094,4815417,4809926,4812873,4813068,4806647,4815274,4814518,4811420,4809926,4811640,4813360,4808092,4874930,4816872,4816678,4820876,4814552,4811534
3,4812077,4805068,4805176,4813709,4815616,4819896,4805160,4813196,4816276,4817616,4816408,4817267,4810350,4848747,4807731,5121338,4825736,4812224,4910689,4811842,4811405,4806266,4817722,4808295,4825664,4813144,4809610,4808161,4817506,4815486,4815336,4813005,4805338,5056522,4844590,4810324,4807177,4818051,4808976,4813015,4810338,4809215,4806224,4807248,4808858,4878110,4813100,4818286,4805342,4814407,4805510,4809708,4809954,4808697,4808945,4813444,4817212,4810666,5011214,4812051,5157464,4808626,4821496,4810606,4808529,4812643,4807534,4995930,4812258,4805602,4815766,4823782,4817395,4814258,4805196,4807412,4851872,4989572,4810740,4820094,4810292,4809926,4805158,4815240,4806647,4810196,4819340,4806857,4809926,4811633,4818686,4816162,4874938,4822472,4811125,4826070,4814552,4811534
3.5,4812077,4800000,4805176,4816438,4815616,4817416,4805160,4813193,4816276,4808822,4810944,4819722,4812930,4843657,4805158,5123887,4823172,4812224,4906584,4805932,4804568,4809391,4814775,4808295,4819265,4813144,4811999,4808161,4817512,4810338,4817882,4807810,4810666,5056522,4850908,4810324,4802394,4820622,4805988,4810413,4807756,4815341,4809312,4804834,4811067,4872974,4818323,4815678,4808007,4812014,4808258,4812128,4812436,4811592,4805968,4805386,4811488,4813324,5013716,4814456,5155179,4808623,4813454,4815894,4811368,4812643,4805021,4998347,4812251,4811192,4815766,4821412,4817395,4814258,4810384,4809880,4854207,4989572,4808058,4820094,4815422,4819816,4812873,4808718,4806647,4810196,4814518,4809140,4812401,4811633,4821346,4808092,4871859,4814066,4811125,4820871,4814552,4808654
4,4809666,4810126,4805176,4816438,4818215,4817416,4807735,4811000,4813569,4811758,4816408,4814808,4815505,4846204,4802579,5121338,4820608,4809172,4900416,4811850,4804568,4812516,4817722,4805534,4819272,4807894,4804810,4808161,4823324,4810338,4815336,4810410,4805338,5056522,4844590,4812897,4804788,4820622,4805988,4805214,4807756,4812282,4809312,4807248,4806645,4872969,4813100,4810466,4813332,4809616,4811006,4809708,4809954,4817368,4811922,4813444,4811488,4810666,5011214,4809646,5155179,4808626,4816138,4813250,4811368,4812643,4807534,4995930,4809197,4808397,4813144,4821412,4817395,4816626,4807790,4809880,4851869,4987164,4810740,4817590,4810292,4809926,4805158,4813068,4811071,4810196,4812103,4809140,4809926,4817440,4818686,4810780,4874938,4811260,4808352,4820871,4805832,4808654
4.5,4807252,4802534,4807760,4816438,4813023,4814931,4807735,4808804,4816276,4805879,4821854,4817267,4820660,4843657,4810304,5121338,4820608,4806120,4906584,4800000,4800000,4809391,4805922,4805534,4825664,4807894,4804810,4810878,4817512,4810338,4810234,4810405,4805338,5054335,4838260,4812897,4802394,4818051,4808976,4813015,4810338,4812274,4809328,4807248,4806645,4875542,4813100,4810466,4808007,4812014,4811006,4812128,4809954,4805802,4811922,4810756,4811488,4810666,5008712,4812051,5152894,4806471,4813454,4813250,4808529,4810120,4802513,4995930,4806129,4805602,4815766,4819042,4814918,4811885,4810378,4812344,4849534,4989572,4808058,4810066,4815422,4809926,4807731,4813068,4804434,4807649,4809688,4809140,4812401,4814540,4818686,4805398,4874938,4816866,4805572,4826070,4805832,4811534
